2017-11-13 11:50:35,892 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-09-10)
2017-11-13 11:50:37,387 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-09-11)
2017-11-13 11:50:38,792 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-09-12)
2017-11-13 11:50:40,200 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-09-13)
2017-11-13 11:50:41,609 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-09-14)
2017-11-13 11:50:43,051 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-09-15)
2017-11-13 11:50:44,430 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-09-16)
2017-11-13 11:50:45,892 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-09-17)
2017-11-13 11:50:47,773 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-09-18)
2017-11-13 11:50:49,357 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-09-19)
2017-11-13 11:50:50,763 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-09-20)
2017-11-13 11:50:52,168 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-09-21)
2017-11-13 11:50:53,609 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-09-22)
2017-11-13 11:50:55,020 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-09-23)
2017-11-13 11:50:56,464 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-09-24)
2017-11-13 11:50:57,871 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-09-25)
2017-11-13 11:50:59,308 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-09-26)
2017-11-13 11:51:00,746 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-09-27)
2017-11-13 11:51:02,497 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-09-28)
2017-11-13 11:51:04,283 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-09-29)
2017-11-13 11:51:05,678 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-09-30)
2017-11-13 11:51:07,125 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-01)
2017-11-13 11:51:08,973 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-02)
2017-11-13 11:51:13,036 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-03)
2017-11-13 11:51:14,444 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-04)
2017-11-13 11:51:15,881 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-05)
2017-11-13 11:51:17,484 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-06)
2017-11-13 11:51:18,911 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-07)
2017-11-13 11:51:20,434 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-08)
2017-11-13 11:51:21,868 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-09)
2017-11-13 11:51:23,267 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-10)
2017-11-13 11:51:24,694 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-11)
2017-11-13 11:51:26,163 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-12)
2017-11-13 11:51:27,802 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-13)
2017-11-13 11:51:29,249 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-14)
2017-11-13 11:51:30,983 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-15)
2017-11-13 11:51:32,638 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-16)
2017-11-13 11:51:34,053 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-17)
2017-11-13 11:51:35,529 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-18)
2017-11-13 11:51:36,944 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-19)
2017-11-13 11:51:38,404 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-20)
2017-11-13 11:51:39,855 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-21)
2017-11-13 11:51:41,635 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-22)
2017-11-13 11:51:43,042 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-23)
2017-11-13 11:51:44,437 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-24)
2017-11-13 11:51:45,845 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-25)
2017-11-13 11:51:47,286 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-26)
2017-11-13 11:51:48,826 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-27)
2017-11-13 11:51:50,250 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-28)
2017-11-13 11:51:51,756 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-29)
2017-11-13 11:51:53,582 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-30)
2017-11-13 11:51:55,197 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-10-31)
2017-11-13 11:51:56,956 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-11-01)
2017-11-13 11:51:58,783 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-11-02)
2017-11-13 11:52:00,561 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-11-03)
2017-11-13 11:52:02,007 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-11-04)
2017-11-13 11:52:03,454 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-11-05)
2017-11-13 11:52:05,017 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-11-06)
2017-11-13 11:52:06,447 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-11-07)
2017-11-13 11:52:07,868 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-11-08)
2017-11-13 11:52:09,309 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-11-09)
2017-11-13 11:52:10,717 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-11-10)
2017-11-13 11:52:12,135 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-11-11)
2017-11-13 11:52:13,578 logger.py[line:22] collect 每日案件逾期天数更新状态-6! (2017-11-12)
2017-11-13 13:23:16,365 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-04-15)
2017-11-13 13:23:18,114 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-04-16)
2017-11-13 13:23:20,072 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-04-17)
2017-11-13 13:23:21,727 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-04-18)
2017-11-13 13:23:23,759 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-04-19)
2017-11-13 13:23:25,693 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-04-20)
2017-11-13 13:23:27,338 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-04-21)
2017-11-13 13:23:28,994 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-04-22)
2017-11-13 13:23:30,605 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-04-23)
2017-11-13 13:23:32,341 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-04-24)
2017-11-13 13:23:33,963 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-04-25)
2017-11-13 13:23:35,911 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-04-26)
2017-11-13 13:23:37,825 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-04-27)
2017-11-13 13:23:39,457 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-04-28)
2017-11-13 13:23:41,112 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-04-29)
2017-11-13 13:23:42,677 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-04-30)
2017-11-13 13:23:44,322 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-05-01)
2017-11-13 13:23:45,964 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-05-02)
2017-11-13 13:23:47,627 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-05-03)
2017-11-13 13:23:49,266 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-05-04)
2017-11-13 13:23:50,868 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-05-05)
2017-11-13 13:23:52,555 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-05-06)
2017-11-13 13:23:54,194 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-05-07)
2017-11-13 13:23:55,846 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-05-08)
2017-11-13 13:23:57,520 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-05-09)
2017-11-13 13:23:59,484 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-05-10)
2017-11-13 13:24:01,460 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-05-11)
2017-11-13 13:24:03,098 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-05-12)
2017-11-13 13:24:05,335 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-05-13)
2017-11-13 13:24:06,971 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-05-14)
2017-11-13 13:24:08,630 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-05-15)
2017-11-13 13:24:10,226 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-05-16)
2017-11-13 13:24:11,864 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-05-17)
2017-11-13 13:24:13,657 logger.py[line:22] collect 催回基本数据更新状态-6! (2017-05-18)
